event_date,event_name,race_number_finishers,athlete_age,athlete_performance,athlete_avg_speed,athlete_gender_F,athlete_gender_M,race_distance_50km,race_distance_50mi,race_season_Fall,race_season_Spring,race_season_Summer,race_season_Winter
02.02.2020,West Seattle Beach Run - Winter Edition ,20,29.0,3:17:55,15.158,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,39.0,4:02:32,12.369,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,21.0,4:07:57,12.099,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,37.0,4:22:02,11.449,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,43.0,4:27:34,11.212,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,35.0,4:42:06,10.635,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,59.0,4:49:20,10.369,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,50.0,4:49:50,10.351,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,45.0,4:51:00,10.309,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,41.0,5:02:35,9.915,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,23.0,5:14:30,9.539,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,55.0,5:26:11,9.197,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,25.0,5:49:33,8.582,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,45.0,6:00:02,8.333,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,52.0,6:06:23,8.188,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,58.0,6:06:38,8.183,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,46.0,6:24:00,7.813,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,44.0,7:54:33,6.322,False,True,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,61.0,8:03:32,6.204,True,False,True,False,False,False,False,True
02.02.2020,West Seattle Beach Run - Winter Edition ,20,60.0,8:03:38,6.203,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,54.0,4:25:09,11.314,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,44.0,4:35:24,10.893,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,27.0,4:47:32,10.434,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,47.0,4:49:48,10.352,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,35.0,4:53:00,10.239,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,51.0,4:55:26,10.155,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,27.0,5:00:01,9.999,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,42.0,5:01:02,9.966,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,42.0,5:19:00,9.404,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,34.0,5:19:00,9.404,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,43.0,5:19:00,9.404,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,43.0,5:23:00,9.288,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,35.0,5:28:00,9.146,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,31.0,5:31:30,9.05,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,44.0,5:35:12,8.95,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,48.0,5:36:16,8.921,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,37.0,5:38:00,8.876,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,48.0,5:39:05,8.847,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,31.0,5:39:05,8.847,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,51.0,5:40:00,8.824,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,56.0,5:43:10,8.742,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,62.0,5:52:43,8.505,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,56.0,5:55:00,8.451,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,37.0,5:57:00,8.403,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,50.0,6:01:00,8.31,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,41.0,6:01:00,8.31,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,57.0,6:03:00,8.264,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,38.0,6:12:00,8.065,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,37.0,6:15:00,8.0,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,49.0,6:15:00,8.0,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,47.0,6:15:00,8.0,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,50.0,6:16:00,7.979,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,53.0,6:16:01,7.978,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,49.0,6:24:01,7.812,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,62.0,6:25:50,7.775,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,41.0,6:28:47,7.716,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,64.0,6:30:38,7.68,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,38.0,6:31:00,7.673,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,43.0,6:33:12,7.63,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,54.0,6:36:56,7.558,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,46.0,6:37:00,7.557,False,True,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,47.0,6:38:00,7.538,True,False,True,False,False,False,False,True
01.02.2020,White Rock Classic 50K ,63,49.0,6:41:00,7.481,False,True,True,False,False,False,False,True
